year,meanSAR,lowerCI,upperCI,meanJuvArrivalDay,juvCount,medianJuvArrivalDay,SE,juvMinArrivalDay,juvMaxArrivalDate,adultCount,juv5%ArrivalDay,juv95%ArrivalDay,ocean1Count,ocean2Count,ocean3Count
2001,NA,NA,NA,153,524,153,NA,139,180,2,145,163,0,2,0
2002,1.344860711,0.645132769,2.044588653,140,1041,140,0.357004052,119,170,14,129,152,1,13,0
2003,0.689145951,0.434763807,0.943528095,146,4063,146,0.129786808,121,184,28,129,165,13,13,2
2004,0.70713023,0.308450749,1.10580971,145,1697,145,0.203407898,122,172,12,135,158,6,6,0
2005,NA,NA,NA,138,212,137,NA,128,167,2,130,154,0,2,0
2006,NA,NA,NA,138,626,137,NA,120,336,3,127,149,0,3,0
2007,0.99923136,0.458763673,1.539699048,145,1301,145,0.27574882,47,201,13,129,162,3,10,0
2008,2.65060241,1.758303579,3.542901241,150,1245,149,0.455254506,56,212,33,132,175,3,22,8
2009,2.469917669,1.70436418,3.235471159,149,1579,147,0.390588515,109,347,39,133,176,3,33,3
2010,2.745901639,2.287398193,3.204405086,146,4880,145,0.23393033,89,224,134,130,163,69,55,10
2011,NA,NA,NA,139,619,136,NA,100,206,6,129,161,0,5,1
2012,2.023121387,1.462406906,2.583835868,144,2422,144,0.286078817,120,187,49,132,157,7,42,0
2013,2.170212766,1.581085868,2.759339664,141,2350,139,0.300574948,112,332,51,130,158,15,32,4
2014,1.044689495,0.56459514,1.52478385,141,1723,142,0.244946099,110,200,18,128,157,6,11,1
2015,1.232798165,0.866596599,1.598999732,140,3488,140,0.186837534,111,183,43,130,152,11,31,1
2016,0.904736562,0.601999772,1.207473352,132,3758,132,0.154457546,112,355,34,122,143,8,25,1
2017,1.4366856,1.010360176,1.863011023,139,2993,140,0.217512971,112,189,43,126,152,13,28,2
2018,0.718735026,0.356314403,1.08115565,136,2087,135,0.184908481,113,183,15,126,151,3,11,1
2019,0.884433962,0.569346017,1.199521907,141,3392,141,0.160759156,120,202,30,128,160,4,24,2
2020,1.981599434,1.467754909,2.495443958,137,2826,138,0.262165574,115,195,56,126,150,15,41,0
2021,1.570531125,1.158733493,1.982328757,139,3502,138,0.210100833,50,345,55,127,155,14,40,1
2022,1.172273191,0.695995335,1.648551046,142,1962,143,0.242998906,47,192,23,131,156,8,15,0
2023,0.453367876,0.216418219,0.690317532,139,3088,137,0.120892682,121,189,14,131,154,14,0,NA
2024,NA,NA,NA,141,2341,141,NA,53,188,0,129,157,0,NA,NA
2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notes:,,,,,,,,,,,,,,,
Columbia River DART,,,,,,,,,,,,,,,
Smolt-to-Adult Return (SAR) Survival Bonneville (Juvenile) to Bonneville (Adult),,,,,,,,,,,,,,,
PIT-Tagged Upper Columbia River Spring Chinook ESU (All),,,,,,,,,,,,,,,
Adult 0-Year Detections Excluded,,,,,,,,,,,,,,,
As of 2024-03-22; a minimum requirement of 7 adults detected within each pooled period for SAR Survival calculations has been introduced.,,,,,,,,,,,,,,,
Generated 15 Mar 2025 15:14:55 PDT. DART PIT Tag Smolt-to-Adult Return (SAR) Survival www.cbr.washington.edu/dart/query/pit_sar_esu.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"DART Data Citation. Columbia River DART, Columbia Basin Research, University of Washington. (2025). PIT Tag Smolt-to-Adult Return (SAR) Survival. Available from https://www.cbr.washington.edu/dart/query/pit_sar_esu.",,,,,,,,,,,,,,,
